number,status,heuristic_score,comments,activity_state,formalized,prize,tags,url,statement
999,proved,12,0,,no,no,"['number theory', 'diophantine approximation']",https://www.erdosproblems.com/999,"For any function $f:\mathbb{N}\to \mathbb{N}$ the property that, for almost all $\alpha$\[\left\lvert \alpha-\frac{p}{q}\right\rvert < \frac{f(q)}{q}\]has infinitely many solutions with $(p,q)=1$, is equivalent to\[\sum_{q\geq 1}\phi(q)\frac{f(q)}{q}=\infty.\]"
1000,proved (Lean),5,3,,no,no,"['number theory', 'diophantine approximation']",https://www.erdosproblems.com/1000,"Let $A=\{n_1<n_2<\cdots\}$ be an infinite sequence of integers, and let $\phi_A(k)$ count the number of $1\leq m\leq n_k$ such that the fraction $\frac{m}{n_k}$ does not have denominator $n_j$ for $j<k$ when written in lowest form; equivalently,\[\frac{n_k}{(m,n_k)}\neq n_j\]for all $1\leq j<k$.
Is there a sequence $A$ such that\[\lim_{N\to \infty}\frac{1}{N}\sum_{k\leq N}\frac{\phi_A(k)}{n_k}=0?\]"
1001,solved,12,0,,no,no,"['number theory', 'diophantine approximation']",https://www.erdosproblems.com/1001,"Let $S(N,A,c)$ be the measure of the set of those $\alpha\in (0,1)$ such that\[\left\lvert \alpha-\frac{x}{y}\right\rvert< \frac{A}{y^2}\]for some $N\leq y\leq cN$ and $(x,y)=1$. Does\[\lim_{N\to \infty}S(N,A,c)=f(A,c)\]exist? What is its explicit form?"
1002,open,49,2,open,no,no,"['analysis', 'diophantine approximation']",https://www.erdosproblems.com/1002,"For any $0<\alpha<1$, let\[f(\alpha,n)=\frac{1}{\log n}\sum_{1\leq k\leq n}(\tfrac{1}{2}-\{ \alpha k\}).\]Does $f(\alpha,n)$ have an asymptotic distribution function?
In other words, is there a non-decreasing function $g$ such that $g(-\infty)=0$, $g(\infty)=1$,
and\[\lim_{n\to \infty}\lvert \{ \alpha\in (0,1): f(\alpha,n)\leq c\}\rvert=g(c)?\]"
1003,open,56,5,open,yes,no,['number theory'],https://www.erdosproblems.com/1003,"Are there infinitely many solutions to $\phi(n)=\phi(n+1)$, where $\phi$ is the Euler totient function?"
1004,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/1004,"Let $c>0$. If $x$ is sufficiently large then does there exist $n\leq x$ such that the values of $\phi(n+k)$ are all distinct for $1\leq k\leq (\log x)^c$, where $\phi$ is the Euler totient function?"
1005,open,57,0,open,no,no,['number theory'],https://www.erdosproblems.com/1005,"Let $\frac{a_1}{b_1},\frac{a_2}{b_2},\ldots$ be the Farey fractions of order $n\geq 4$. Let $f(n)$ be the largest integer such that if $1\leq k0$ such that $f(n)=(c+o(1))n$ for all large $n$?"
1006,disproved,18,2,,no,no,"['graph theory', 'cycles']",https://www.erdosproblems.com/1006,"Let $G$ be a graph with girth $>4$ (that is, it contains no cycles of length $3$ or $4$). Can the edges of $G$ always be directed such that there is no directed cycle, and reversing the direction of any edge also creates no directed cycle?"
1007,solved (Lean),18,1,,no,no,['graph theory'],https://www.erdosproblems.com/1007,"The dimension of a graph $G$ is the minimal $n$ such that $G$ can be embedded in $\mathbb{R}^n$ such that every edge of $G$ is a unit line segment.
What is the smallest number of edges in a graph with dimension $4$?"
1008,proved (Lean),14,7,,no,no,['graph theory'],https://www.erdosproblems.com/1008,Does every graph with $m$ edges contain a subgraph with $\gg m^{2/3}$ edges which contains no $C_4$?
1009,proved,18,2,,no,no,['graph theory'],https://www.erdosproblems.com/1009,"Is it true that, for every $c>0$, there exists $f(c)$ such that every graph on $n$ vertices with at least $\lfloor n^2/4\rfloor+k$ edges, where $k<c n$, contains at least $k-f(c)$ many edge disjoint triangles?"
1010,proved,18,1,,no,no,['graph theory'],https://www.erdosproblems.com/1010,Let $t<\lfloor n/2\rfloor$. Does every graph on $n$ vertices with $\lfloor n^2/4\rfloor+t$ edges contain at least $t\lfloor n/2\rfloor$ triangles?
1011,open,50,9,open,no,no,['graph theory'],https://www.erdosproblems.com/1011,Let $f_r(n)$ be minimal such that every graph on $n$ vertices with $\geq f_r(n)$ edges and chromatic number $\geq r$ contains a triangle. Determine $f_r(n)$.
1012,solved,14,5,,no,no,['graph theory'],https://www.erdosproblems.com/1012,Let $k\geq 0$. Let $f(k)$ be such that every graph on $n\geq f(k)$ vertices with at least $\binom{n-k-1}{2}+\binom{k+2}{2}+1$ edges contains a cycle on $n-k$ vertices. Determine or estimate $f(k)$.
1013,open,50,15,open,no,no,['graph theory'],https://www.erdosproblems.com/1013,"Let $h_3(k)$ be the minimal $n$ such that there exists a triangle-free graph on $n$ vertices with chromatic number $k$. Find an asymptotic for $h_3(k)$, and also prove\[\lim_{k\to \infty}\frac{h_3(k+1)}{h_3(k)}=1.\]"
1014,proved (Lean),14,6,,no,no,['graph theory'],https://www.erdosproblems.com/1014,"Let $R(k,l)$ be the Ramsey number, so the minimal $n$ such that every graph on at least $n$ vertices contains either a $K_k$ or an independent set on $l$ vertices.
Prove, for fixed $k\geq 3$, that\[\lim_{l\to \infty}\frac{R(k,l+1)}{R(k,l)}=1.\]"
1015,solved,12,0,,no,no,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/1015,"Let $f(t)$ be minimal such that, in any two-colouring of the edges of $K_n$, the edges can be partitioned into vertex disjoint monochromatic copies of $K_t$ (not necessarily the same colour) with at most $f(t)$ vertices remaining.
Estimate $f(t)$. In particular, is it true that $f(t)^{1/t}\to 1$? Is it true that $f(t)\ll t$?"
1016,open,53,1,open,no,no,"['graph theory', 'cycles']",https://www.erdosproblems.com/1016,"Let $h(n)$ be minimal such that there is a graph on $n$ vertices with $n+h(n)$ edges which contains a cycle on $k$ vertices, for all $3\leq k\leq n$. Estimate $h(n)$. In particular, is it true that\[h(n) \geq \log_2n+\log_*n-O(1),\]where $\log_*n$ is the iterated logarithmic function?"
1017,open,54,3,open,no,no,['graph theory'],https://www.erdosproblems.com/1017,"Let $f(n,k)$ be such that every graph on $n$ vertices and $k$ edges can be partitioned into at most $f(n,k)$ edge-disjoint complete graphs. Estimate $f(n,k)$ for $k>n^2/4$."
1018,solved,18,2,,no,no,"['graph theory', 'planar graphs']",https://www.erdosproblems.com/1018,"Let $\epsilon>0$. Is there a constant $C_\epsilon$ such that, for all large $n$, every graph on $n$ vertices with at least $n^{1+\epsilon}$ edges must contain a subgraph on at most $C_\epsilon$ vertices which is non-planar?"
1019,proved,10,8,,no,no,"['graph theory', 'planar graphs']",https://www.erdosproblems.com/1019,A planar graph on $n$ vertices with $3n-6$ edges (the maximum possible) is called saturated. Does every graph on $n$ vertices with $\lfloor n^2/4\rfloor+\lfloor \frac{n+1}{2}\rfloor$ edges contain a saturated planar graph with $>3$ vertices?
1020,falsifiable,79,5,open,no,no,"['graph theory', 'hypergraphs']",https://www.erdosproblems.com/1020,"Let $f(n;r,k)$ be the maximal number of edges in an $r$-uniform hypergraph which contains no set of $k$ many independent edges. 
For all $r\geq 3$,\[f(n;r,k)=\max\left(\binom{rk-1}{r}, \binom{n}{r}-\binom{n-k+1}{r}\right).\]"
1021,proved,5,8,,no,no,['graph theory'],https://www.erdosproblems.com/1021,"Is it true that, for every $k\geq 3$, there is a constant $c_k>0$ such that\[\mathrm{ex}(n,G_k) \ll n^{3/2-c_k},\]where $G_k$ is the bipartite graph between $\{y_1,\ldots,y_k\}$ and $\{z_1,\ldots,z_{\binom{k}{2}}\}$, with each $z_j$ joined to a unique pair of $y_i$?"
1022,proved (Lean),1,11,,no,no,"['combinatorics', 'hypergraphs']",https://www.erdosproblems.com/1022,"Is there a constant $c_t$, where $c_t\to \infty$ as $t\to \infty$, such that if $\mathcal{F}$ is a finite family of finite sets, all of size at least $t$, and for every set $X$ there are $<c_t\lvert X\rvert$ many $A\in \mathcal{F}$ with $A\subseteq X$, then $\mathcal{F}$ has chromatic number $2$ (in other words, has property B)?"
1023,solved (Lean),10,5,,no,no,['combinatorics'],https://www.erdosproblems.com/1023,"Let $F(n)$ be the maximal size of a family of subsets of $\{1,\ldots,n\}$ such that no set in this family is the union of other members of the family. Is it true that there is a constant $c>0$ such that\[F(n)\sim c \frac{2^n}{n^{1/2}}?\]"
1024,solved,21,0,,no,no,"['graph theory', 'hypergraphs']",https://www.erdosproblems.com/1024,Let $f(n)$ be such that every $3$-uniform linear hypergraph on $n$ vertices contains an independent set on $f(n)$ vertices. Estimate $f(n)$.
1025,solved,12,0,,no,no,['combinatorics'],https://www.erdosproblems.com/1025,"Let $f$ be a function from all pairs of elements in $\{1,\ldots,n\}$ to $\{1,\ldots,n\}$ such that $f(x,y)\neq x$ and $\neq y$ for all $x,y$. We call $X\subseteq \{1,\ldots,n\}$ independent if whenever $x,y\in X$ we have $f(x,y)\not\in X$.
Let $g(n)$ be such that, in every function $f$, there is an independent set of size at least $g(n)$. Estimate $g(n)$."
1026,solved (Lean),6,25,,no,no,['combinatorics'],https://www.erdosproblems.com/1026,"Let $x_1,\ldots,x_n$ be a sequence of distinct real numbers. Determine\[\max\left(\sum x_{i_r}\right),\]where the maximum is taken over all monotonic subsequences."
1027,proved,5,3,,no,no,['combinatorics'],https://www.erdosproblems.com/1027,"Let $c>0$, and let $n$ be sufficiently large depending on $c$. Suppose that $\mathcal{F}$ is a family of at most $c2^n$ many finite sets of size $n$. Let $X=\cup_{A\in \mathcal{F}}A$.
Must there exist $\gg_c 2^{\lvert X\rvert}$ many sets $B\subset X$ which intersect every set in $\mathcal{F}$, yet contain none of them?"
1028,solved (Lean),18,1,,no,no,"['graph theory', 'discrepancy']",https://www.erdosproblems.com/1028,"Let\[H(n)=\min_f \max_{X\subseteq \{1,\ldots,n\}} \left\lvert \sum_{x\neq y\in X} f(x,y)\right\rvert,\]where $f$ ranges over all functions $f:X^2\to \{-1,1\}$. Estimate $H(n)$."
1029,open,51,1,open,no,$100,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/1029,"If $R(k)$ is the Ramsey number for $K_k$, the minimal $n$ such that every $2$-colouring of the edges of $K_n$ contains a monochromatic copy of $K_k$, then\[\frac{R(k)}{k2^{k/2}}\to \infty.\]"
1030,open,49,2,open,no,no,"['graph theory', 'ramsey theory']",https://www.erdosproblems.com/1030,"Let $R(k,l)$ be the usual Ramsey number: the smallest $n$ such that if the edges of $K_n$ are coloured red and blue then there exists either a red $K_k$ or a blue $K_l$.
Prove the existence of some $c>0$ such that\[\lim_{k\to \infty}\frac{R(k+1,k)}{R(k,k)}> 1+c.\]"
1031,proved,18,2,,no,no,['graph theory'],https://www.erdosproblems.com/1031,"If $G$ is a graph on $n$ vertices which contains no trivial (empty or complete) subgraph on $\geq 10\log n$ many vertices, then must $G$ contain an induced non-trivial regular subgraph on $\gg \log n$ many vertices?"
1032,open,53,1,open,no,no,"['graph theory', 'chromatic number']",https://www.erdosproblems.com/1032,"We say that a graph is $4$-chromatic critical if it has chromatic number $4$, and removing any edge decreases the chromatic number to $3$.
Is there, for arbitrarily large $n$, a $4$-chromatic critical graph on $n$ vertices with minimum degree $\gg n$?"
1033,open,61,0,open,no,no,['graph theory'],https://www.erdosproblems.com/1033,"Let $h(n)$ be such that every graph on $n$ vertices with $>n^2/4$ many edges contains a triangle whose vertices have degrees summing to at least $h(n)$. Estimate $h(n)$. In particular, is it true that\[h(n)\geq (2(\sqrt{3}-1)-o(1))n?\]"
1034,disproved (Lean),14,6,,no,no,['graph theory'],https://www.erdosproblems.com/1034,"Let $G$ be a graph on $n$ vertices with $>n^2/4$ many edges. Must there be a triangle $T$ in $G$ and vertices $y_1,\ldots,y_t$, where $t>(\frac{1}{2}-o(1))n$, such that every vertex is joined to at least two vertices of $T$?"
1035,open,54,6,open,no,no,['graph theory'],https://www.erdosproblems.com/1035,Is there a constant $c>0$ such that every graph on $2^n$ vertices with minimum degree $>(1-c)2^n$ contains the $n$-dimensional hypercube $Q_n$?
1036,proved (Lean),14,3,,no,no,['graph theory'],https://www.erdosproblems.com/1036,Let $G$ be a graph on $n$ vertices which does not contain a trivial (empty or complete) graph on more than $c\log n$ vertices. Must $G$ contain at least $2^{\Omega_c(n)}$ many induced subgraphs which are not pairwise isomorphic?
1037,disproved (Lean),10,10,,no,no,['graph theory'],https://www.erdosproblems.com/1037,"Let $G$ be a graph on $n$ vertices in which every degree occurs at most twice, and the number of distinct degree is $>(\frac{1}{2}+\epsilon)n$. Must $G$ contain a trivial (empty or complete) subgraph of size 'much larger' than $\log n$?"
1038,open,52,134,open,yes,no,['analysis'],https://www.erdosproblems.com/1038,"Determine the infimum and supremum of\[\lvert \{ x\in \mathbb{R} : \lvert f(x)\rvert < 1\}\rvert\]as $f\in \mathbb{R}[x]$ ranges over all non-constant monic polynomials, all of whose roots are real and in the interval $[-1,1]$."
1039,open,41,9,open,no,no,['analysis'],https://www.erdosproblems.com/1039,"Let $f(z)=\prod_{i=1}^n(z-z_i)\in \mathbb{C}[z]$ with $\lvert z_i\rvert \leq 1$ for all $i$. Let $\rho(f)$ be the radius of the largest disc which is contained in $\{z: \lvert f(z)\rvert< 1\}$. 
Determine the behaviour of $\rho(f)$. In particular, is it always true that $\rho(f)\gg 1/n$?"
1040,open,49,1,open,no,no,['analysis'],https://www.erdosproblems.com/1040,"Let $F\subseteq \mathbb{C}$ be a closed infinite set, and let $\mu(F)$ be the infimum of\[\lvert \{ z: \lvert f(z)\rvert < 1\}\rvert,\]as $f$ ranges over all polynomials of the shape $\prod (z-z_i)$ with $z_i\in F$.
Is $\mu(F)$ determined by the transfinite diameter of $F$? In particular, is $\mu(F)=0$ whenever the transfinite diameter of $F$ is $\geq 1$?"
1041,falsifiable,77,45,claimed,yes,no,['analysis'],https://www.erdosproblems.com/1041,"Let $f(z)=\prod_{i=1}^n(z-z_i)\in \mathbb{C}[z]$ with $\lvert z_i\rvert < 1$ for all $i$. 
Must there always exist a path of length less than $2$ in\[\{z: \lvert f(z)\rvert < 1\}\]which connects two of the roots of $f$?"
1042,proved,9,1,,no,no,['analysis'],https://www.erdosproblems.com/1042,"Let $F\subset\mathbb{C}$ be a closed set of transfinite diameter $1$ which is not contained in any closed disc of radius $1$. 
If $f(z)=\prod_{i=1}^n(z-z_i)\in\mathbb{C}[x]$ with all $z_i\in F$ then can\[\{ z: \lvert f(z)\rvert 0$ depends only on $F$ (or just the transfinite diameter of $F$)?"
1043,disproved (Lean),16,5,,yes,no,['analysis'],https://www.erdosproblems.com/1043,Let $f\in \mathbb{C}[x]$ be a monic non-constant polynomial. Must there exist a straight line $\ell$ such that the projection of\[\{ z: \lvert f(z)\rvert\leq 1\}\]onto $\ell$ has measure at most $2$?
1044,solved,5,7,,no,no,['analysis'],https://www.erdosproblems.com/1044,Let $f(z)=\prod_{i=1}^n(z-z_i)\in\mathbb{C}[x]$ where $\lvert z_i\rvert\leq 1$ for all $i$. If $\Lambda(f)$ is the maximum of the lengths of the boundaries of the connected components of\[\{ z: \lvert f(z)\rvert<1\}\]then determine the infimum of $\Lambda(f)$.
1045,open,41,47,open,no,no,['analysis'],https://www.erdosproblems.com/1045,"Let $z_1,\ldots,z_n\in \mathbb{C}$ with $\lvert z_i-z_j\rvert\leq 2$ for all $i,j$, and\[\Delta(z_1,\ldots,z_n)=\prod_{i\neq j}\lvert z_i-z_j\rvert.\]What is the maximum possible value of $\Delta$? Is it maximised by taking the $z_i$ to be the vertices of a regular polygon?"
1046,disproved,17,0,,no,no,['analysis'],https://www.erdosproblems.com/1046,Let $f\in \mathbb{C}[x]$ be a monic polynomial and\[E=\{ z: \lvert f(z)\rvert <1\}.\]If $E$ is connected then is $E$ contained in a disc of radius $2$?
1047,disproved (Lean),10,5,,no,no,['analysis'],https://www.erdosproblems.com/1047,"Let $f\in \mathbb{C}[x]$ be a monic polynomial with $m$ distinct roots, and let $c>0$ be a constant small enough such that $\{ z: \lvert f(z)\rvert\leq c\}$ has $m$ distinct connected components.
Must all these components be convex?"
1048,disproved (Lean),14,2,,no,no,['analysis'],https://www.erdosproblems.com/1048,If $f\in \mathbb{C}[x]$ is a monic polynomial with all roots satisfying $\lvert z\rvert \leq r$ for some $r2-r$?
1049,open,56,3,open,yes,no,['irrationality'],https://www.erdosproblems.com/1049,"Let $t>1$ be a rational number. Is\[\sum_{n=1}^\infty\frac{1}{t^n-1}=\sum_{n=1}^\infty \frac{\tau(n)}{t^n}\]irrational, where $\tau(n)$ counts the divisors of $n$?"
1050,proved,17,0,,no,no,['irrationality'],https://www.erdosproblems.com/1050,Is\[\sum_{n=1}^\infty \frac{1}{2^n-3}\]irrational?
1051,proved (Lean),16,6,,yes,no,['irrationality'],https://www.erdosproblems.com/1051,Is it true that if $1\leq a_11\]then\[\sum_{n=1}^\infty \frac{1}{a_na_{n+1}}\]is irrational?
1052,open,60,0,open,yes,$10,['number theory'],https://www.erdosproblems.com/1052,"A unitary divisor of $n$ is $d\mid n$ such that $(d,n/d)=1$. A number $n\geq 1$ is a unitary perfect number if it is the sum of its unitary divisors (aside from $n$ itself).
Are there only finite many unitary perfect numbers?"
1053,open,57,0,open,no,no,['number theory'],https://www.erdosproblems.com/1053,"Call a number $k$-perfect if $\sigma(n)=kn$, where $\sigma(n)$ is the sum of the divisors of $n$. Must $k=o(\log\log n)$?"
1054,open,60,6,open,yes,no,"['number theory', 'divisors']",https://www.erdosproblems.com/1054,"Let $f(n)$ be the minimal integer $m$ such that $n$ is the sum of the $k$ smallest divisors of $m$ for some $k\geq 1$.
Is it true that $f(n)=o(n)$? Or is this true only for almost all $n$, and $\limsup f(n)/n=\infty$?"
1055,open,54,0,open,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/1055,"A prime $p$ is in class $1$ if the only prime divisors of $p+1$ are $2$ or $3$. In general, a prime $p$ is in class $r$ if every prime factor of $p+1$ is in some class $\leq r-1$, with equality for at least one prime factor.
Are there infinitely many primes in each class? If $p_r$ is the least prime in class $r$, then how does $p_r^{1/r}$ behave?"
1056,open,56,3,open,yes,no,['number theory'],https://www.erdosproblems.com/1056,"Let $k\geq 2$. Does there exist a prime $p$ and consecutive intervals $I_1,\ldots,I_k$ such that\[\prod_{n\in I_i}n \equiv 1\pmod{p}\]for all $1\leq i\leq k$?"
1057,open,54,2,open,no,no,['number theory'],https://www.erdosproblems.com/1057,"Let $C(x)$ count the number of Carmichael numbers in the interval $[1,x]$. Is it true that $C(x)=x^{1-o(1)}$?"
1058,proved,10,3,,no,no,['number theory'],https://www.erdosproblems.com/1058,"Let $2=p_1<p_2<\cdots$ be the sequence of prime numbers. Are there only finitely many $n$ such that $n\in [p_{k-1},p_k)$ and the only primes dividing $n!+1$ are $p_{k}$ and $p_{k+1}$?"
1059,open,59,0,open,yes,no,"['number theory', 'primes']",https://www.erdosproblems.com/1059,Are there infinitely many primes $p$ such that $p-k!$ is composite for each $k$ such that $1\leq k!<p$?
1060,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/1060,"Let $f(n)$ count the number of solutions to $k\sigma(k)=n$, where $\sigma(k)$ is the sum of divisors of $k$. Is it true that $f(n)\leq n^{o(\frac{1}{\log\log n})}$? Perhaps even $\leq (\log n)^{O(1)}$?"
1061,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/1061,"How many solutions are there to\[\sigma(a)+\sigma(b)=\sigma(a+b)\]with $a+b\leq x$, where $\sigma$ is the sum of divisors function? Is it $\sim cx$ for some constant $c>0$?"
1062,open,56,7,open,yes,no,['number theory'],https://www.erdosproblems.com/1062,"Let $f(n)$ be the size of the largest subset $A\subseteq \{1,\ldots,n\}$ such that there are no three distinct elements $a,b,c\in A$ such that $a\mid b$ and $a\mid c$. How large can $f(n)$ be? Is $\lim f(n)/n$ irrational?"
1063,open,56,4,open,yes,no,['number theory'],https://www.erdosproblems.com/1063,Let $k\geq 2$ and define $n_k\geq 2k$ to be the least value of $n$ such that $n-i$ divides $\binom{n}{k}$ for all but one $0\leq i<k$. Estimate $n_k$.
1064,proved,16,6,,yes,no,['number theory'],https://www.erdosproblems.com/1064,"Prove that $\phi(n)>\phi(n-\phi(n))$ for almost all $n$, but that $\phi(n)<\phi(n-\phi(n))$ for infinitely many $n$, where $\phi$ is Euler's totient function."
1065,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/1065,Are there infinitely many primes $p$ such that $p=2^kq+1$ for some prime $q$ and $k\geq 0$? Or $p=2^k3^lq+1$?
1066,open,53,1,open,no,no,"['graph theory', 'planar graphs']",https://www.erdosproblems.com/1066,"Let $G$ be a graph given by $n$ points in $\mathbb{R}^2$, where any two distinct points are at least distance $1$ apart, and we draw an edge between two points if they are distance $1$ apart.
Let $g(n)$ be maximal such that any such graph always has an independent set on at least $g(n)$ vertices. Estimate $g(n)$, or perhaps $\lim \frac{g(n)}{n}$."
1067,disproved (Lean),20,4,,yes,no,"['graph theory', 'set theory']",https://www.erdosproblems.com/1067,Does every graph with chromatic number $\aleph_1$ contain an infinitely connected subgraph with chromatic number $\aleph_1$?
1068,open,64,2,open,yes,no,"['graph theory', 'set theory', 'chromatic number']",https://www.erdosproblems.com/1068,Does every graph with chromatic number $\aleph_1$ contain a countable subgraph which is infinitely vertex-connected?
1069,solved,17,0,,no,no,['geometry'],https://www.erdosproblems.com/1069,"Given any $n$ points in $\mathbb{R}^2$, the number of $k$-rich lines (lines which contain $\geq k$ of the points) is, provided $k\leq n^{1/2}$,\[\ll \frac{n^2}{k^3}.\]"
1070,open,50,4,open,no,no,['geometry'],https://www.erdosproblems.com/1070,"Let $f(n)$ be maximal such that, given any $n$ points in $\mathbb{R}^2$, there exist $f(n)$ points such that no two are distance $1$ apart. Estimate $f(n)$. In particular, is it true that $f(n)\geq n/4$?"
1071,proved (Lean),7,17,,yes,no,['geometry'],https://www.erdosproblems.com/1071,"Is there a finite set of unit line segments (rotated and translated copies of $(0,1)$) in the unit square, no two of which intersect, which are maximal with respect to this property?
Is there a region $R$ with a maximal set of disjoint unit line segments that is countably infinite?"
1072,open,60,1,open,yes,no,['number theory'],https://www.erdosproblems.com/1072,"For any prime $p$, let $f(p)$ be the least integer such that $f(p)!+1\equiv 0\pmod{p}$.
Is it true that there are infinitely many $p$ for which $f(p)=p-1$?
Is it true that $f(p)/p\to 0$ for almost all $p$?"
1073,open,63,0,open,yes,no,['number theory'],https://www.erdosproblems.com/1073,Let $A(x)$ count the number of composite $u<x$ such that $n!+1\equiv 0\pmod{u}$ for some $n$. Is it true that $A(x)\leq x^{o(1)}$?
1074,open,51,5,open,yes,no,['number theory'],https://www.erdosproblems.com/1074,"Let $S$ be the set of all $m\geq 1$ such that there exists a prime $p\not\equiv 1\pmod{m}$ such that $m!+1\equiv 0\pmod{p}$. Does\[\lim \frac{\lvert S\cap [1,x]\rvert}{x}\]exist? What is it?
Similarly, if $P$ is the set of all primes $p$ such that there exists an $m$ with $p\not\equiv 1\pmod{m}$ such that $m!+1\equiv 0\pmod{p}$, then does\[\lim \frac{\lvert P\cap [1,x]\rvert}{\pi(x)}\]exist? What is it?"
1075,open,49,2,open,no,no,['hypergraphs'],https://www.erdosproblems.com/1075,"Let $r\geq 3$. There exists $c_r>r^{-r}$ such that, for any $\epsilon>0$, if $n$ is sufficiently large, the following holds.
Any $r$-uniform hypergraph on $n$ vertices with at least $(1+\epsilon)(n/r)^r$ many edges contains a subgraph on $m$ vertices with at least $c_rm^r$ edges, where $m=m(n)\to \infty$ as $n\to \infty$."
1076,proved,14,1,,no,no,['hypergraphs'],https://www.erdosproblems.com/1076,"Let $k\geq 5$ and let $\mathcal{F}_k$ be the family of all $3$-uniform hypergraphs with $k$ vertices and $k-2$ edges. Is it true that\[\mathrm{ex}_3(n,\mathcal{F}_k)\sim \frac{n^2}{6}?\]"
1077,disproved,11,9,,yes,no,['graph theory'],https://www.erdosproblems.com/1077,"We call a graph $D$-balanced (or $D$-almost-regular) if the maximum degree is at most $D$ times the minimum degree.
Let $\epsilon,\alpha>0$ and $D$ and $n$ be sufficiently large. If $G$ is a graph on $n$ vertices with at least $n^{1+\alpha}$ edges, then must $G$ contain a $D$-balanced subgraph on $m>n^{1-\alpha}$ vertices with at least $\epsilon m^{1+\alpha}$ edges?"
1078,proved,21,0,,no,no,['graph theory'],https://www.erdosproblems.com/1078,Let $G$ be an $r$-partite graph with $n$ vertices in each part. If $G$ has minimum degree $\geq (r-\frac{3}{2}-o(1))n$ then $G$ must contain a $K_r$.
1079,solved,14,3,,no,no,"['graph theory', 'turan number']",https://www.erdosproblems.com/1079,Let $r\geq 4$. If $G$ is a graph on $n$ vertices with at least $\mathrm{ex}(n;K_r)$ edges then must $G$ contain a vertex with degree $d\gg_r n$ whose neighbourhood contains at least $\mathrm{ex}(d;K_{r-1})$ edges?
1080,disproved (Lean),24,1,,yes,no,['graph theory'],https://www.erdosproblems.com/1080,Let $G$ be a bipartite graph on $n$ vertices such that one part has $\lfloor n^{2/3}\rfloor$ vertices. Is there a constant $c>0$ such that if $G$ has at least $cn$ edges then $G$ must contain a $C_6$?
1081,disproved,17,0,,no,no,"['number theory', 'powerful']",https://www.erdosproblems.com/1081,Let $A(x)$ count the number of $n\leq x$ which are the sum of two squarefull numbers (a number $m$ is squarefull if $p\mid m$ implies $p^2\mid m$). Is it true that\[A(x) \sim c \frac{x}{\sqrt{\log x}}\]for some $c>0$?
1082,falsifiable,72,21,open,yes,no,"['geometry', 'distances']",https://www.erdosproblems.com/1082,"Let $A\subset \mathbb{R}^2$ be a set of $n$ points with no three on a line. Does $A$ determine at least $\lfloor n/2\rfloor$ distinct distances? In fact, must there exist a single point from which there are at least $\lfloor n/2\rfloor$ distinct distances?"
1083,open,57,0,open,no,no,"['geometry', 'distances']",https://www.erdosproblems.com/1083,"Let $d\geq 3$, and let $f_d(n)$ be the minimal $m$ such that every set of $n$ points in $\mathbb{R}^d$ determines at least $m$ distinct distances. Estimate $f_d(n)$ - in particular, is it true that\[f_d(n)=n^{\frac{2}{d}-o(1)}?\]"
1084,open,56,5,open,yes,no,"['geometry', 'distances']",https://www.erdosproblems.com/1084,"Let $f_d(n)$ be minimal such that in any collection of $n$ points in $\mathbb{R}^d$, all of distance at least $1$ apart, there are at most $f_d(n)$ many pairs of points which are distance $1$ apart. Estimate $f_d(n)$."
1085,open,63,0,open,yes,no,"['geometry', 'distances']",https://www.erdosproblems.com/1085,"Let $f_d(n)$ be minimal such that, in any set of $n$ points in $\mathbb{R}^d$, there exist at most $f_d(n)$ pairs of points which distance $1$ apart. Estimate $f_d(n)$."
1086,open,57,0,open,no,no,"['geometry', 'distances']",https://www.erdosproblems.com/1086,Let $g(n)$ be minimal such that any set of $n$ points in $\mathbb{R}^2$ contains the vertices of at most $g(n)$ many triangles with the same area. Estimate $g(n)$.
1087,open,49,1,open,no,no,"['geometry', 'distances']",https://www.erdosproblems.com/1087,"Let $f(n)$ be minimal such that every set of $n$ points in $\mathbb{R}^2$ contains at most $f(n)$ many sets of four points which are 'degenerate' in the sense that some pair are the same distance apart. Estimate $f(n)$ - in particular, is it true that $f(n)\leq n^{3+o(1)}$?"
1088,open,52,0,open,no,no,['geometry'],https://www.erdosproblems.com/1088,"Let $f_d(n)$ be the minimal $m$ such that any set of $m$ points in $\mathbb{R}^d$ contains a set of $n$ points such that any two determined distances are distinct. Estimate $f_d(n)$. In particular, is it true that, for fixed $n\geq 3$,\[f_d(n)=2^{o(d)}?\]"
1089,solved,17,0,,no,no,"['geometry', 'distances']",https://www.erdosproblems.com/1089,"Let $g_d(n)$ be minimal such that every collection of $g_d(n)$ points in $\mathbb{R}^d$ determines at least $n$ many distinct distances. Estimate $g_d(n)$. In particular, does\[\lim_{d\to \infty}\frac{g_d(n)}{d^{n-1}}\]exist?"
